Anglais,Francais
" \(occupied\)"," \(pris\)"
" arme laser"," arme laser"
" degats a la carlingue"," degats a la carlingue"
" degats a la carlingue. Systeme affecte : "," degats a la carlingue. Systeme affecte : "
" Bouclier: OFF"," Bouclier: OFF"
" Bouclier: ON"," Bouclier: ON"
" gagne"," gagne"
"&INPUT_TYPE=TEXT&OUTPUT_TYPE=AUDIO&AUDIO=WAVE_FILE&LOCALE=fr&VOICE=upmc-pierre","&INPUT_TYPE=TEXT&OUTPUT_TYPE=AUDIO&AUDIO=WAVE_FILE&LOCALE=fr&VOICE=upmc-pierre"
": Vide",": Vide"
Accepted hail from ,Communication acceptee avec 
Beam frequency changed : ,Changement de frequence des lasers : 
Beam system target changed : ,Changement de cible des lasers : 
Beam/shield frequencies,Utiliser frequences
Defending ,Defense 
Enter \[,Entrer \[
Hailed by ,Contacte par 
Jump in: ,Jump dans : 
Launch probe \(,Lancer sonde \(
None,Non
Player ,Joueur 
Radar range: ,Portee du radar : 
Scan complexity: ,Complexite du scan : 
Server IP: ,IP Serveur : 
Server name: ,Nom du Serveur : 
Server password: ,Mot de passe : 
Server visibility: ,Visibilite Serveur : 
Shields frequency changed : ,Changement de frequence des boucliers : 
SHIP DESTROYED!,VAISSEAU DETRUIT!
Storage ,Stock 
System afffected : ,Systeme affecte : 
Target - Destroyed,Cible - Detruite
Target activated : ,Cible activee : 
This ship will self-destruct in exactly 10 seconds.,"Ce vaisseau s'auto-detruira dans exactement 10 secondes"
Waiting for autorization input: ,"Attente des codes d'autorisation"
1 player crew/extras,Equipage 1 joueur / Extras
4/3 player crew,Equipage 4/3 joueurs
6/5 player crew,Equipage 6/5 joueurs
Advanced,Avance
Alert level,Niveau Alerte
Alternative options,Poste alternatif
Answer,Repondre
Auto destruction activated,"Activation de l'auto destruction"
Auto destruction canceled,"Annulation de l'auto destruction"
Back,Arriere
Beam Info,Cible laser
Beam info,Info Laser
Beam Weapons,Faisceau laser
Biomass frequency,Frequence de bio-masse
Both,Double
Calibrate,Calibrer
Calibrating,Calibrage
Calibration speed,Vitesse de calibrage
Callsign,Identification
Cancel,Annuler
Cancel,Annuler
Cancel Docking,Annuler dock
Charge rate,Vitesse de rechargement
Charging,Chargement
Class,Classe
Close,Fin
Close server,Fermer serveur
